Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/000fvwg06 -> https://ror.org/000fvwg06,https://ror.org/000fvwg06,https://ror.org/000fvwg06,TH,TH,Bangkok,Bangkok,Queen Sirikit National Institute of Child Health,Queen Sirikit National Institute of Child Health,healthcare,healthcare
2,https://ror.org/002qeva03 -> https://ror.org/002qeva03,https://ror.org/002qeva03,https://ror.org/002qeva03,TH,TH,Bangkok,Bangkok,Bangkok University,Bangkok University,education,education
1,https://ror.org/002qeva03 -> https://ror.org/02d0tyt78,https://ror.org/002qeva03,https://ror.org/02d0tyt78,TH,TH,Bangkok,Bangkok,Bangkok University,Silpakorn University,education,education
1,https://ror.org/002qeva03 -> https://ror.org/05sgb8g78,https://ror.org/002qeva03,https://ror.org/05sgb8g78,TH,TH,Bangkok,Nakhon Ratchasima,Bangkok University,Suranaree University of Technology,education,education
18,https://ror.org/002yp7f20 -> https://ror.org/002yp7f20,https://ror.org/002yp7f20,https://ror.org/002yp7f20,TH,TH,Bangkok,Bangkok,Thammasat University,Thammasat University,education,education
1,https://ror.org/002yp7f20 -> https://ror.org/00a5mh069,https://ror.org/002yp7f20,https://ror.org/00a5mh069,TH,TH,Bangkok,Phayao,Thammasat University,University of Phayao,education,education
1,https://ror.org/002yp7f20 -> https://ror.org/00epajq42,https://ror.org/002yp7f20,https://ror.org/00epajq42,TH,TH,Bangkok,Mueang Nonthaburi,Thammasat University,Sukhothai Thammathirat Open University,education,education
4,https://ror.org/002yp7f20 -> https://ror.org/00mrw8k38,https://ror.org/002yp7f20,https://ror.org/00mrw8k38,TH,TH,Bangkok,Bangkok,Thammasat University,Ramkhamhaeng University,education,education
1,https://ror.org/002yp7f20 -> https://ror.org/01cqcrc47,https://ror.org/002yp7f20,https://ror.org/01cqcrc47,TH,TH,Bangkok,Pathum Thani,Thammasat University,Rangsit University,education,education
1,https://ror.org/002yp7f20 -> https://ror.org/01qkghv97,https://ror.org/002yp7f20,https://ror.org/01qkghv97,TH,TH,Bangkok,Bangkok,Thammasat University,Navamindradhiraj University,education,education
7,https://ror.org/002yp7f20 -> https://ror.org/028wp3y58,https://ror.org/002yp7f20,https://ror.org/028wp3y58,TH,TH,Bangkok,Bangkok,Thammasat University,Chulalongkorn University,education,education
3,https://ror.org/002yp7f20 -> https://ror.org/03cq4gr50,https://ror.org/002yp7f20,https://ror.org/03cq4gr50,TH,TH,Bangkok,Khon Kaen,Thammasat University,Khon Kaen University,education,education
1,https://ror.org/002yp7f20 -> https://ror.org/03fs9z545,https://ror.org/002yp7f20,https://ror.org/03fs9z545,TH,TH,Bangkok,Bangkok,Thammasat University,Mahidol Oxford Tropical Medicine Research Unit,education,facility
2,https://ror.org/002yp7f20 -> https://ror.org/03zmqc707,https://ror.org/002yp7f20,https://ror.org/03zmqc707,TH,TH,Bangkok,Bangkok,Thammasat University,Assumption University,education,education
1,https://ror.org/002yp7f20 -> https://ror.org/0403qcr87,https://ror.org/002yp7f20,https://ror.org/0403qcr87,TH,TH,Bangkok,Pathum Thani,Thammasat University,Asian Institute of Technology,education,education
2,https://ror.org/002yp7f20 -> https://ror.org/0453j3c58,https://ror.org/002yp7f20,https://ror.org/0453j3c58,TH,TH,Bangkok,Maha Sarakham,Thammasat University,Mahasarakham University,education,education
1,https://ror.org/002yp7f20 -> https://ror.org/04718hx42,https://ror.org/002yp7f20,https://ror.org/04718hx42,TH,TH,Bangkok,Bangkok,Thammasat University,Srinakharinwirot University,education,education
1,https://ror.org/002yp7f20 -> https://ror.org/04fy6jb97,https://ror.org/002yp7f20,https://ror.org/04fy6jb97,TH,TH,Bangkok,Bangkok,Thammasat University,King Mongkut's University of Technology North Bangkok,education,education
1,https://ror.org/002yp7f20 -> https://ror.org/051qqcg15,https://ror.org/002yp7f20,https://ror.org/051qqcg15,TH,TH,Bangkok,Thanyaburi,Thammasat University,Rajamangala University of Technology,education,education
